,equity,ret,turnover,long_n,short_n
2024-02-21 00:00:00+00:00,903660.2378932444,-0.01634742113620491,0.0,0,0
2024-02-22 00:00:00+00:00,972683.9789726308,0.07638240367895954,0.0,0,0
2024-02-23 00:00:00+00:00,979291.7086225051,0.006793295451266168,0.0,0,0
2024-02-26 00:00:00+00:00,984648.5974248707,0.005470166606333038,0.0,0,0
2024-02-27 00:00:00+00:00,978219.8346059284,-0.006528992003599354,0.0,0,0
2024-02-28 00:00:00+00:00,975009.4435642369,-0.0032818707289704596,0.0,0,0
2024-02-29 00:00:00+00:00,985905.4768612065,0.011175310525340265,0.0,1,1
2024-03-01 00:00:00+00:00,1008612.0050808955,0.023031141171848457,0.0,0,0
2024-03-04 00:00:00+00:00,1039542.1643204519,0.030666062949623152,0.0,0,0
2024-03-05 00:00:00+00:00,1058758.1276277963,0.018485025395680532,0.0,0,0
2024-03-06 00:00:00+00:00,1078718.619413082,0.01885274007766835,0.0,0,0
2024-03-07 00:00:00+00:00,1103235.6775717293,0.022727945654620108,0.0,0,0
2024-03-08 00:00:00+00:00,1066986.8246738496,-0.032856853376664774,0.0,0,0
2024-03-11 00:00:00+00:00,1049983.9369022616,-0.015935424298032408,0.0,0,0
2024-03-12 00:00:00+00:00,1086099.8265715402,0.03439661160515506,0.0,0,0
2024-03-13 00:00:00+00:00,1086626.9984861345,0.0004853807188776038,0.0,0,0
2024-03-14 00:00:00+00:00,1063091.266214157,-0.02165943999621489,0.0,0,0
2024-03-15 00:00:00+00:00,1063609.0783090002,0.00048708150588727683,0.0,0,0
2024-03-18 00:00:00+00:00,1063964.9157606303,0.00033455661378489765,0.0,0,0
2024-03-19 00:00:00+00:00,1062409.243998515,-0.0014621457334457189,0.0,0,0
2024-03-20 00:00:00+00:00,1060383.1632992085,-0.0019070623780352847,0.0,0,0
2024-03-21 00:00:00+00:00,1088281.8122473946,0.02630996974846722,0.0,0,0
2024-03-22 00:00:00+00:00,1102376.8479520641,0.01295164133595339,0.0,0,0
2024-03-25 00:00:00+00:00,1111119.9634476553,0.007931149417582217,0.0,0,0
2024-03-26 00:00:00+00:00,1100552.2813892409,-0.009510838078747419,0.0,0,0
2024-03-27 00:00:00+00:00,1075140.5425647076,-0.023089987867233153,0.0,0,0
2024-03-28 00:00:00+00:00,1081448.1926691004,0.005866814481152449,0.0,0,0
2024-04-01 00:00:00+00:00,1086062.336259309,0.004266633964980393,0.0,0,0
2024-04-02 00:00:00+00:00,1084388.2824857351,-0.0015413975033327088,0.0,0,0
2024-04-03 00:00:00+00:00,1078829.2303934249,-0.005126440576771363,0.0,0,0
2024-04-04 00:00:00+00:00,1062920.6692703385,-0.014746134675350686,0.0,0,0
2024-04-05 00:00:00+00:00,1073538.5529580566,0.009989347271802451,0.0,0,0
2024-04-08 00:00:00+00:00,1071778.617293427,-0.0016393781665131613,0.0,0,0
2024-04-09 00:00:00+00:00,1056956.1501110715,-0.013829784381952703,0.0,0,0
2024-04-10 00:00:00+00:00,1073275.8611710633,0.015440291499582814,0.0,0,0
2024-04-11 00:00:00+00:00,1072108.9795004858,-0.0010872150514074086,0.0,0,0
2024-04-12 00:00:00+00:00,1053109.570260539,-0.017721527944667526,0.0,0,0
2024-04-15 00:00:00+00:00,1051575.3577168114,-0.0014568403773483896,0.0,0,0
2024-04-16 00:00:00+00:00,1070298.1118652713,0.01780448163896775,0.0,0,0
2024-04-17 00:00:00+00:00,1053966.0199208674,-0.015259385925610047,0.0,0,0
2024-04-18 00:00:00+00:00,1060965.7038111256,0.00664128041887313,0.0,0,0
2024-04-19 00:00:00+00:00,1014371.5822914145,-0.043916708478265565,0.0,0,0
2024-04-22 00:00:00+00:00,1033874.0921903158,0.019226198997852606,0.0,0,0
2024-04-23 00:00:00+00:00,1049455.0431681306,0.015070453061460931,0.0,0,0
2024-04-24 00:00:00+00:00,1025308.0479861671,-0.023009080130834025,0.0,0,0
2024-04-25 00:00:00+00:00,1041682.1764420526,0.01596995994330319,0.0,0,0
2024-04-26 00:00:00+00:00,1075655.896678426,0.03261428582028092,0.0,0,0
2024-04-29 00:00:00+00:00,1062448.3062550358,-0.012278638981271461,0.0,0,0
2024-04-30 00:00:00+00:00,1063951.9519659947,0.001415264820044726,0.0,1,1
2024-05-01 00:00:00+00:00,1046475.2232164078,-0.0164262387199845,0.0,0,0
2024-05-02 00:00:00+00:00,1052438.7578810703,0.0056986869181032684,0.0,0,0
2024-05-03 00:00:00+00:00,1039186.2469802314,-0.012592191993689883,0.0,0,0
2024-05-06 00:00:00+00:00,1063528.1115711262,0.02342396722592288,0.0,0,0
